address,firstName,city,lastName,telephone
LongAddressWithoutSpaces1234567890,J,Los Angeles,Smith,609-591-6230
 ,Robert,San Francisco,O'Neil,123-456-7890
 ,J,Co-Op City,McDonald,609.591.6230
123A Elm St.,Robert,Atlantis,Van-Dyke,1234567
9-B Pine Rd,Jo,Phoenix@,Williams,12345abcde
123A Elm St.,John,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,Johnson,1234567890123
100# Maple Avenue,Johann, ,Brown,(609)5916230
6789 North 5th St.,John,Dallas2,Lee,2125551234
100# Maple Avenue,Alice,Co-Op City,Lee,6095916230
Broadway Avenue,Johann,Los Angeles,McDonald,6095916230
5 W. Oak Blvd,Jonathan, ,O'Neil,1234567890123
1st Ave @ Central Park,Robert,Dallas2,Williams,609-591-6230
123 Elm Street with a very very very very very very very very very very very very very very very very long address,Alice,San Francisco,Brown,2125551234
9-B Pine Rd,Alice,New York,Van-Dyke,(609)5916230
Broadway Avenue,John,Atlantis,Smith,609.591.6230
LongAddressWithoutSpaces1234567890,Johann,Phoenix@,Johnson,1234567
6789 North 5th St.,Alice, ,McDonald,123-456-7890
123A Elm St.,Jonathan,New York,Lee,12345abcde
100# Maple Avenue,John,Los Angeles,Van-Dyke,12345abcde
9-B Pine Rd,J,Dallas2,O'Neil,6095916230
5 W. Oak Blvd,Alice,Dallas2,Smith,1234567
6789 North 5th St.,Jo,San Francisco,Johnson,(609)5916230
LongAddressWithoutSpaces1234567890,Mary,San Francisco,Williams,609.591.6230
 ,Mary,Phoenix@,Brown,1234567890123
1st Ave @ Central Park,Jo,Co-Op City,Van-Dyke,2125551234
5 W. Oak Blvd,Jo,Los Angeles,Brown,123-456-7890
123A Elm St.,Mary,Phoenix@,McDonald,609-591-6230
 ,John,New York,Johnson,609-591-6230
123A Elm St.,Jo,Dallas2,Brown,609.591.6230
6789 North 5th St.,Mary,St. Louis,O'Neil,1234567
1st Ave @ Central Park,Jonathan,Phoenix@,Smith,123-456-7890
100# Maple Avenue,J,New York,Williams,2125551234
123A Elm St.,Robert,Co-Op City,Smith,(609)5916230
Broadway Avenue,Robert,ThisCityNameIsCertainlyWayTooLongToBeValidInAnyDatabaseSystem,Brown,12345abcde
5 W. Oak Blvd,Mary,Atlantis,Johnson,6095916230
Broadway Avenue,Jo, ,Lee,1234567
6789 North 5th St.,Johann,Atlantis,Williams,1234567890123
 ,Jonathan,Dallas2,Lee,(609)5916230
LongAddressWithoutSpaces1234567890,Jonathan,Dallas2,McDonald,12345abcde
